Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
92:04:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:04:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:04:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:05:00:00,3,0,11:PRTD 1,-157.698,
92:05:00:00,3,0,12:PRTD 2,-199.18405,
92:05:00:00,3,0,13:Ambient Temperature,27.00055,
92:05:00:00,3,0,14:LN2 Level,0.0,
92:05:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:05:00:00,3,1,73:DC Detector Leakage Current,-31.746033,
92:05:00:00,3,1,16:Charge Loop DC Level,-0.46,
92:06:00:00,3,0,11:PRTD 1,-157.70364,
92:06:00:00,3,0,12:PRTD 2,-199.2166,
92:06:00:00,3,0,13:Ambient Temperature,26.796448,
92:06:00:00,3,0,14:LN2 Level,0.0,
92:06:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:06:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:06:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:07:00:00,3,0,11:PRTD 1,-157.68674,
92:07:00:00,3,0,12:PRTD 2,-199.21117,
92:07:00:00,3,0,13:Ambient Temperature,27.20462,
92:07:00:00,3,0,14:LN2 Level,0.0,
92:07:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:07:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:07:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:08:00:00,3,0,11:PRTD 1,-157.67545,
92:08:00:00,3,0,12:PRTD 2,-199.18405,
92:08:00:00,3,0,13:Ambient Temperature,27.408691,
92:08:00:00,3,0,14:LN2 Level,0.0,
92:08:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:08:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:08:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:09:00:00,3,0,11:PRTD 1,-157.70364,
92:09:00:00,3,0,12:PRTD 2,-199.1949,
92:09:00:00,3,0,13:Ambient Temperature,26.796448,
92:09:00:00,3,0,14:LN2 Level,0.0,
92:09:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:09:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:09:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:10:00:00,3,0,11:PRTD 1,-157.68109,
92:10:00:00,3,0,12:PRTD 2,-199.20575,
