Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
42:11:00:00,3,0,13:Ambient Temperature,29.653595
42:11:00:00,3,0,14:LN2 Level,0
42:11:00:00,3,1,15:AC Detector Leakage Current,-261
42:11:00:00,3,1,73:DC Detector Leakage Current,-21.164001
42:11:00:00,3,1,16:Charge Loop DC Level,-0.43999997
42:12:00:00,3,0,11:PRTD 1,-156.51328
42:12:00:00,3,0,12:PRTD 2,-199.08098
42:12:00:00,3,0,13:Ambient Temperature,29.449524
42:12:00:00,3,0,14:LN2 Level,0
42:12:00:00,3,1,15:AC Detector Leakage Current,-262
42:12:00:00,3,1,73:DC Detector Leakage Current,-31.746033
42:12:00:00,3,1,16:Charge Loop DC Level,-0.46
42:13:00:00,3,0,11:PRTD 1,-156.54712
42:13:00:00,3,0,12:PRTD 2,-199.08641
42:13:00:00,3,0,13:Ambient Temperature,29.245453
42:13:00:00,3,0,14:LN2 Level,0
42:13:00:00,3,1,15:AC Detector Leakage Current,-261
42:13:00:00,3,1,73:DC Detector Leakage Current,0
42:13:00:00,3,1,16:Charge Loop DC Level,-0.4
42:14:00:00,3,0,11:PRTD 1,-156.57535
42:14:00:00,3,0,12:PRTD 2,-199.07556
42:14:00:00,3,0,13:Ambient Temperature,29.041351
42:14:00:00,3,0,14:LN2 Level,0
42:14:00:00,3,1,15:AC Detector Leakage Current,-262
42:14:00:00,3,1,73:DC Detector Leakage Current,0
42:14:00:00,3,1,16:Charge Loop DC Level,-0.4
42:15:00:00,3,0,11:PRTD 1,-156.60922
42:15:00:00,3,0,12:PRTD 2,-199.07556
42:15:00:00,3,0,13:Ambient Temperature,28.83728
42:15:00:00,3,0,14:LN2 Level,0
42:15:00:00,3,1,15:AC Detector Leakage Current,-262
42:15:00:00,3,1,73:DC Detector Leakage Current,0
42:15:00:00,3,1,16:Charge Loop DC Level,-0.4
42:16:00:00,3,0,11:PRTD 1,-156.63744
42:16:00:00,3,0,12:PRTD 2,-199.08641
42:16:00:00,3,0,13:Ambient Temperature,28.633179
42:16:00:00,3,0,14:LN2 Level,0
42:16:00:00,3,1,15:AC Detector Leakage Current,-262
42:16:00:00,3,1,73:DC Detector Leakage Current,0
42:16:00:00,3,1,16:Charge Loop DC Level,-0.4
42:17:00:00,3,0,11:PRTD 1,-156.65437
42:17:00:00,3,0,12:PRTD 2,-199.08098
42:17:00:00,3,0,13:Ambient Temperature,28.633179
42:17:00:00,3,0,14:LN2 Level,0
42:17:00:00,3,1,15:AC Detector Leakage Current,-262
42:17:00:00,3,1,73:DC Detector Leakage Current,0
42:17:00:00,3,1,16:Charge Loop DC Level,-0.4
42:18:00:00,3,0,11:PRTD 1,-156.6713
42:18:00:00,3,0,12:PRTD 2,-199.07556
42:18:00:00,3,0,13:Ambient Temperature,28.633179
42:18:00:00,3,0,14:LN2 Level,0
42:18:00:00,3,1,15:AC Detector Leakage Current,-262
42:18:00:00,3,1,73:DC Detector Leakage Current,0
42:18:00:00,3,1,16:Charge Loop DC Level,-0.4
42:19:00:00,3,0,11:PRTD 1,-156.66565
42:19:00:00,3,0,12:PRTD 2,-199.07013
42:19:00:00,3,0,13:Ambient Temperature,28.633179
42:19:00:00,3,0,14:LN2 Level,0
42:19:00:00,3,1,15:AC Detector Leakage Current,-262
42:19:00:00,3,1,73:DC Detector Leakage Current,0
42:19:00:00,3,1,16:Charge Loop DC Level,-0.4
42:20:00:00,3,0,11:PRTD 1,-156.66565
42:20:00:00,3,0,12:PRTD 2,-199.07013
42:20:00:00,3,0,13:Ambient Temperature,28.633179
42:20:00:00,3,0,14:LN2 Level,0
42:20:00:00,3,1,15:AC Detector Leakage Current,-262
42:20:00:00,3,1,73:DC Detector Leakage Current,0
42:20:00:00,3,1,16:Charge Loop DC Level,-0.4
42:21:00:00,3,0,11:PRTD 1,-156.6713
42:21:00:00,3,0,12:PRTD 2,-199.07013
42:21:00:00,3,0,13:Ambient Temperature,28.633179
42:21:00:00,3,0,14:LN2 Level,0
42:21:00:00,3,1,15:AC Detector Leakage Current,-262
42:21:00:00,3,1,73:DC Detector Leakage Current,-10.582001
42:21:00:00,3,1,16:Charge Loop DC Level,-0.42
42:22:00:00,3,0,11:PRTD 1,-156.66565
42:22:00:00,3,0,12:PRTD 2,-199.07013
42:22:00:00,3,0,13:Ambient Temperature,28.633179
42:22:00:00,3,0,14:LN2 Level,0
42:22:00:00,3,1,15:AC Detector Leakage Current,-262
42:22:00:00,3,1,73:DC Detector Leakage Current,0
