Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
84:15:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:16:00:00,3,0,11:PRTD 1,-167.09705,
84:16:00:00,3,0,12:PRTD 2,-197.50114,
84:16:00:00,3,0,13:Ambient Temperature,28.020935,
84:16:00:00,3,0,14:LN2 Level,0.0,
84:16:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:16:00:00,3,1,73:DC Detector Leakage Current,-37.037,
84:16:00:00,3,1,16:Charge Loop DC Level,-0.71999997,
84:17:00:00,3,0,11:PRTD 1,-167.0635,
84:17:00:00,3,0,12:PRTD 2,-197.50114,
84:17:00:00,3,0,13:Ambient Temperature,28.83728,
84:17:00:00,3,0,14:LN2 Level,0.0,
84:17:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:17:00:00,3,1,73:DC Detector Leakage Current,-12.345631,
84:17:00:00,3,1,16:Charge Loop DC Level,-0.67999995,
84:18:00:00,3,0,11:PRTD 1,-167.08586,
84:18:00:00,3,0,12:PRTD 2,-197.48483,
84:18:00:00,3,0,13:Ambient Temperature,28.225037,
84:18:00:00,3,0,14:LN2 Level,0.0,
84:18:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:18:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:18:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:19:00:00,3,0,11:PRTD 1,-167.08026,
84:19:00:00,3,0,12:PRTD 2,-197.50114,
84:19:00:00,3,0,13:Ambient Temperature,28.429108,
84:19:00:00,3,0,14:LN2 Level,0.0,
84:19:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:19:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:19:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:20:00:00,3,0,11:PRTD 1,-167.06909,
84:20:00:00,3,0,12:PRTD 2,-197.50114,
84:20:00:00,3,0,13:Ambient Temperature,28.429108,
84:20:00:00,3,0,14:LN2 Level,0.0,
84:20:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:20:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:20:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:21:00:00,3,0,11:PRTD 1,-167.06909,
84:21:00:00,3,0,12:PRTD 2,-197.50656,
84:21:00:00,3,0,13:Ambient Temperature,28.633179,
84:21:00:00,3,0,14:LN2 Level,0.0,
84:21:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:21:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:21:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:22:00:00,3,0,11:PRTD 1,-167.0579,
84:22:00:00,3,0,12:PRTD 2,-197.50114,
84:22:00:00,3,0,13:Ambient Temperature,28.429108,
84:22:00:00,3,0,14:LN2 Level,0.0,
84:22:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:22:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:22:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
84:23:00:00,3,0,11:PRTD 1,-167.09146,
84:23:00:00,3,0,12:PRTD 2,-197.46854,
84:23:00:00,3,0,13:Ambient Temperature,28.429108,
84:23:00:00,3,0,14:LN2 Level,0.0,
84:23:00:00,3,1,15:AC Detector Leakage Current,-247.0,
84:23:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
84:23:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
85:00:00:00,3,0,11:PRTD 1,-167.07468,
85:00:00:00,3,0,12:PRTD 2,-197.49026,
85:00:00:00,3,0,13:Ambient Temperature,28.633179,
85:00:00:00,3,0,14:LN2 Level,0.0,
85:00:00:00,3,1,15:AC Detector Leakage Current,-247.0,
85:00:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
85:00:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
85:01:00:00,3,0,11:PRTD 1,-167.08026,
85:01:00:00,3,0,12:PRTD 2,-197.51744,
85:01:00:00,3,0,13:Ambient Temperature,28.633179,
85:01:00:00,3,0,14:LN2 Level,0.0,
85:01:00:00,3,1,15:AC Detector Leakage Current,-247.0,
85:01:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
85:01:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
85:02:00:00,3,0,11:PRTD 1,-167.08586,
85:02:00:00,3,0,12:PRTD 2,-197.51744,
85:02:00:00,3,0,13:Ambient Temperature,28.429108,
85:02:00:00,3,0,14:LN2 Level,0.0,
85:02:00:00,3,1,15:AC Detector Leakage Current,-247.0,
85:02:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
85:02:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
85:03:00:00,3,0,11:PRTD 1,-167.08586,
85:03:00:00,3,0,12:PRTD 2,-197.49026,
85:03:00:00,3,0,13:Ambient Temperature,28.020935,
85:03:00:00,3,0,14:LN2 Level,0.0,
85:03:00:00,3,1,15:AC Detector Leakage Current,-247.0,
85:03:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
85:03:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
85:04:00:00,3,0,11:PRTD 1,-167.0523,
85:04:00:00,3,0,12:PRTD 2,-197.48483,
85:04:00:00,3,0,13:Ambient Temperature,28.83728,
85:04:00:00,3,0,14:LN2 Level,0.0,
85:04:00:00,3,1,15:AC Detector Leakage Current,-247.0,
85:04:00:00,3,1,73:DC Detector Leakage Current,-24.691298,
85:04:00:00,3,1,16:Charge Loop DC Level,-0.6999999,
85:05:00:00,3,0,11:PRTD 1,-167.04672,
85:05:00:00,3,0,12:PRTD 2,-197.50656,
85:05:00:00,3,0,13:Ambient Temperature,28.633179,
85:05:00:00,3,0,14:LN2 Level,0.0,
85:05:00:00,3,1,15:AC Detector Leakage Current,-247.0,
85:05:00:00,3,1,73:DC Detector Leakage Current,3.679299e-05,
85:05:00:00,3,1,16:Charge Loop DC Level,-0.65999997,
85:06:00:00,3,0,11:PRTD 1,-167.0523,
85:06:00:00,3,0,12:PRTD 2,-197.4794,
85:06:00:00,3,0,13:Ambient Temperature,28.633179,
85:06:00:00,3,0,14:LN2 Level,0.0,
85:06:00:00,3,1,15:AC Detector Leakage Current,-247.0,
85:06:00:00,3,1,73:DC Detector Leakage Current,-61.728336,
85:06:00:00,3,1,16:Charge Loop DC Level,-0.75999993,
85:07:00:00,3,0,11:PRTD 1,-167.04114,
85:07:00:00,3,0,12:PRTD 2,-197.51201,
85:07:00:00,3,0,13:Ambient Temperature,28.83728,
85:07:00:00,3,0,14:LN2 Level,0.0,
85:07:00:00,3,1,15:AC Detector Leakage Current,-247.0,
