Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
2:15:00:00,3,0,14:LN2 Level,0
2:15:00:00,3,1,15:AC Detector Leakage Current,-259
2:15:00:00,3,1,73:DC Detector Leakage Current,10.582031
2:15:00:00,3,1,16:Charge Loop DC Level,-0.37999997
2:16:00:00,3,0,11:PRTD 1,-157.59087
2:16:00:00,3,0,12:PRTD 2,-198.5275
2:16:00:00,3,0,13:Ambient Temperature,33.327087
2:16:00:00,3,0,14:LN2 Level,0
2:16:00:00,3,1,15:AC Detector Leakage Current,-259
2:16:00:00,3,1,73:DC Detector Leakage Current,0
2:16:00:00,3,1,16:Charge Loop DC Level,-0.4
2:17:00:00,3,0,11:PRTD 1,-157.59087
2:17:00:00,3,0,12:PRTD 2,-198.53293
2:17:00:00,3,0,13:Ambient Temperature,33.327087
2:17:00:00,3,0,14:LN2 Level,0
2:17:00:00,3,1,15:AC Detector Leakage Current,-259
2:17:00:00,3,1,73:DC Detector Leakage Current,10.582031
2:17:00:00,3,1,16:Charge Loop DC Level,-0.37999997
2:18:00:00,3,0,11:PRTD 1,-157.57959
2:18:00:00,3,0,12:PRTD 2,-198.5275
2:18:00:00,3,0,13:Ambient Temperature,33.327087
2:18:00:00,3,0,14:LN2 Level,0
2:18:00:00,3,1,15:AC Detector Leakage Current,-259
2:18:00:00,3,1,73:DC Detector Leakage Current,0
2:18:00:00,3,1,16:Charge Loop DC Level,-0.4
2:19:00:00,3,0,11:PRTD 1,-157.57959
2:19:00:00,3,0,12:PRTD 2,-198.52206
2:19:00:00,3,0,13:Ambient Temperature,33.327087
2:19:00:00,3,0,14:LN2 Level,0
2:19:00:00,3,1,15:AC Detector Leakage Current,-259
2:19:00:00,3,1,73:DC Detector Leakage Current,0
2:19:00:00,3,1,16:Charge Loop DC Level,-0.4
2:20:00:00,3,0,11:PRTD 1,-157.58524
2:20:00:00,3,0,12:PRTD 2,-198.53836
2:20:00:00,3,0,13:Ambient Temperature,33.327087
2:20:00:00,3,0,14:LN2 Level,0
2:20:00:00,3,1,15:AC Detector Leakage Current,-259
2:20:00:00,3,1,73:DC Detector Leakage Current,0
2:20:00:00,3,1,16:Charge Loop DC Level,-0.4
2:21:00:00,3,0,11:PRTD 1,-157.57394
2:21:00:00,3,0,12:PRTD 2,-198.5275
2:21:00:00,3,0,13:Ambient Temperature,33.53116
2:21:00:00,3,0,14:LN2 Level,0
2:21:00:00,3,1,15:AC Detector Leakage Current,-259
2:21:00:00,3,1,73:DC Detector Leakage Current,0
2:21:00:00,3,1,16:Charge Loop DC Level,-0.4
2:22:00:00,3,0,11:PRTD 1,-157.58524
2:22:00:00,3,0,12:PRTD 2,-198.53293
